Publication_number,Reference,Journal,Study,Case_study,Country,lab_or_field_experiment,Original_Site,original_decimals_latitude,original_decimals_longtitude,Original_Altitude.m.a.s.l..,Incubation_Site,incubation_decimal_latitudes,incubation_decimal_longtitude,Incubation_Altitude.m.a.s.l..,Incubation_annual_precipitation_.mm.,incubation_site_annual_temperature,Incubation_site_annual_min_temperatur_.degrees_C.,Incubation_site_annual_max_temperatur_.degrees_C.,Tree_species,Clade,Genus,family,natural_wood_or_block,wood_diameter,woody_debris_type,Diameter_range.mm.,wood_size_class,WD_Decay_class,Start_time,Finish_time,Study_duration_months,Treatments_type,Position_to_soil,Wood_density_initial,Stem_dry_matter_content..SDMC..g.g.1.,Wood_initial_Carbon,Wood_initial_Nitrogen,Wood_initial_Phophorus,Wood_initial_Potassium,Wood_initial_Lignin_perc,Wood_initial_Cellulose,Wood_initial_Hemicellulose,Wood_initial_Calcium,Wood_density_afterdecay,Fauna_group,Target_variable,Target_variable_loss_Exclusion,Target_variable_loss_Access,k_Exclusion,k_Access,sd_exclusion,sd_inclusion,n_sample_Exclusion,n_sample_Acess,Bark_status_presence_or_absent,Note..give.more.detailed.on.method.used.to.exclude.invertebrates.,Termites_type,Data_extracted_by
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould open,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia gerrardii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Jul,1,physical,surface,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,8.751,20.014,NA,NA,8.886134143,10.75548697,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould open,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia gerrardii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Sep,3,physical,surface,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,10.53,33.384,NA,NA,7.856424839,12.09041955,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould open,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia gerrardii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,16-Jun,12,physical,surface,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,17.295,70.112,NA,NA,7.033551823,14.75357652,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould shade,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia gerrardii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Jul,1,physical,surface,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,8.97,31.102,NA,NA,8.886134143,10.34069636,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould shade,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia gerrardii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Sep,3,physical,surface,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,10.56,41.01,NA,NA,6.858020487,11.59960263,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould shade,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia gerrardii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,16-Jun,12,physical,surface,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,20.098,68.849,NA,NA,9.864413883,9.752610484,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected off mould ,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia gerrardii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Jul,1,physical,surface,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,3.774,7.79,NA,NA,6.008314656,6.188318128,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected off mould ,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia gerrardii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Sep,3,physical,surface,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,5.734,9.871,NA,NA,4.548162266,9.52453155,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected off mould ,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia gerrardii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,16-Jun,12,physical,surface,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,10.836,35.567,NA,NA,8.285749891,7.296289811,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected inactive moud open,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia gerrardii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Jul,1,physical,surface,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,6.003,15.358,NA,NA,8.596563339,8.675943753,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
